Institute ID,Institute Name,TLR,RPC,GO,OI,PERCEPTION,City,State,Score,Rank
IR-O-U-0456,Indian Institute of Technology Madras,86.56,91.98,89.36,62.95,98.75,Chennai,Tamil Nadu,87.59,1
IR-O-U-0220,Indian Institute of Science,82.08,87.45,84.8,57.46,100,Bengaluru,Karnataka,83.57,2
IR-O-U-0306,"Indian Institute of Technology, Bombay",85.55,84.09,83.08,59.54,88.8,Mumbai,Maharashtra,82.35,3
IR-O-I-1074,"Indian Institute of Technology, Delhi",81.98,84.81,79.36,70.07,93.08,New Delhi,Delhi,82.22,4
IR-O-I-1075,Indian Institute of Technology Kanpur,86.9,70.55,83.89,60.26,77.86,Kanpur,Uttar Pradesh,77.83,5
IR-O-U-0573,"Indian Institute of Technology, Kharagpur",77.66,75.66,81.92,55.85,79.82,Kharagpur,West Bengal,75.94,6
IR-O-U-0560,"Indian Institute of Technology, Roorkee",77.22,67.03,84.42,64.36,48.84,Roorkee,Uttarakhand,71.48,7
IR-O-U-0053,Indian Institute of Technology Guwahati,78.29,63.54,83.26,59.58,45.93,Guwahati,Assam,69.75,8
IR-O-N-15,"All India Institute of Medical Sciences, Delhi",75.57,60.39,72.67,67.37,75.15,New Delhi,Delhi,69.57,9
IR-O-U-0109,Jawaharlal Nehru University,71.95,45.55,95.27,70.27,59.19,New Delhi,Delhi,67.25,10
IR-O-U-0500,Banaras Hindu University,69.9,43.91,97.74,57.32,53.95,Varanasi,Uttar Pradesh,64.81,11
IR-O-U-0575,Jadavpur University,63.57,53.73,90.1,56.86,49.53,Kolkata,West Bengal,63.85,12
IR-O-U-0108,"Jamia Millia Islamia, New Delhi",68.16,47.38,92.46,81.14,23.57,New Delhi,Delhi,63.62,13
IR-O-U-0013,Indian Institute of Technology Hyderabad,73.43,53.18,71.53,56.73,49.01,Hyderabad,Telangana,62.86,14
IR-O-U-0570,Calcutta University,67.46,40.85,95.48,61.9,37.86,Kolkata,West Bengal,61.57,15
IR-O-U-0436,Amrita Vishwa Vidyapeetham,69.8,50.06,74.09,69.53,38.09,Coimbatore,Tamil Nadu,61.54,16
IR-O-U-0234,"Manipal Academy of Higher Education, Manipal",70.53,51.07,78.15,64.81,26.37,Manipal,Karnataka,61.23,17
IR-O-U-0490,Vellore Institute of Technology,52.72,59.82,79.43,59.07,45.74,Vellore,Tamil Nadu,60.14,18
IR-O-U-0496,Aligarh Muslim University,69.21,43.04,88.92,56.29,27.85,Aligarh,Uttar Pradesh,59.86,19
IR-O-U-0042,University of Hyderabad,70.94,40.18,83.97,63.5,31.99,Hyderabad,Telangana,59.67,20
IR-O-U-0467,"National Institute of Technology, Tiruchirappalli",60.73,45.71,75.74,66.48,52.2,Tiruchirappalli,Tamil Nadu,58.95,21
IR-O-U-0439,Anna University,53.32,53.15,74.97,49.3,62.1,Chennai,Tamil Nadu,58.08,22
